i,j,k
20,27,0
20,28,0
20,29,0
20,30,0
20,31,0
20,32,0
20,33,0
20,34,0
20,35,0
20,36,0
20,37,0
21,25,0
21,26,0
21,27,0
21,28,0
21,29,0
21,30,0
21,31,0
21,32,0
21,33,0
21,34,0
21,35,0
21,36,0
21,37,0
21,38,0
21,39,0
22,24,0
22,25,0
22,26,0
22,27,0
22,28,0
22,29,0
22,30,0
22,31,0
22,32,0
22,33,0
22,34,0
22,35,0
22,36,0
22,37,0
22,38,0
22,39,0
22,40,0
23,23,0
23,24,0
23,25,0
23,26,0
23,27,0
23,28,0
23,35,0
23,36,0
23,37,0
23,38,0
23,39,0
23,40,0
23,41,0
24,22,0
24,23,0
24,24,0
24,25,0
24,26,0
24,37,0
24,38,0
24,39,0
24,40,0
24,41,0
24,42,0
25,21,0
25,22,0
25,23,0
25,24,0
25,25,0
25,38,0
25,39,0
25,40,0
25,41,0
25,42,0
26,21,0
26,22,0
26,23,0
26,24,0
26,39,0
26,40,0
26,41,0
26,42,0
26,43,0
27,20,0
27,21,0
27,22,0
27,23,0
27,40,0
27,41,0
27,42,0
27,43,0
28,20,0
28,21,0
28,22,0
28,23,0
28,40,0
28,41,0
28,42,0
28,43,0
28,44,0
29,20,0
29,21,0
29,22,0
29,41,0
29,42,0
29,43,0
29,44,0
30,20,0
30,21,0
30,22,0
30,41,0
30,42,0
30,43,0
30,44,0
31,20,0
31,21,0
31,22,0
31,41,0
31,42,0
31,43,0
31,44,0
32,20,0
32,21,0
32,22,0
32,41,0
32,42,0
32,43,0
32,44,0
33,20,0
33,21,0
33,22,0
33,41,0
33,42,0
33,43,0
33,44,0
34,20,0
34,21,0
34,22,0
34,41,0
34,42,0
34,43,0
34,44,0
35,20,0
35,21,0
35,22,0
35,23,0
35,41,0
35,42,0
35,43,0
35,44,0
36,20,0
36,21,0
36,22,0
36,23,0
36,40,0
36,41,0
36,42,0
36,43,0
36,44,0
37,20,0
37,21,0
37,22,0
37,23,0
37,24,0
37,39,0
37,40,0
37,41,0
37,42,0
37,43,0
38,21,0
38,22,0
38,23,0
38,24,0
38,25,0
38,39,0
38,40,0
38,41,0
38,42,0
38,43,0
39,21,0
39,22,0
39,23,0
39,24,0
39,25,0
39,26,0
39,37,0
39,38,0
39,39,0
39,40,0
39,41,0
39,42,0
40,22,0
40,23,0
40,24,0
40,25,0
40,26,0
40,27,0
40,28,0
40,36,0
40,37,0
40,38,0
40,39,0
40,40,0
40,41,0
41,23,0
41,24,0
41,25,0
41,26,0
41,27,0
41,28,0
41,29,0
